Edital,Objeto do Edital,Instituição de fomento,Período de Execução,Título do Projeto,Tipo do Projeto,Área,Coordenador/Orientador,Campus,Forma de Apoio,Nível de Bolsa Ofertada,Número de Bolsas ofertadas,Número de alunos Voluntários ,Valor total em bolsas para o projeto,Valor total em auxílio financeiro para o projeto
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Auxílio à Coordenação de Pesquisa do Campus Avançado Campus Campus Abelardo Luz ,Pesquisa,Interdisciplinar,JANAINA MUNIZ PICOLO,Campus Abelardo Luz,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,MAPEAMENTO E ANÁLISE DE PROJETOS DE PESQUISA E INOVAÇÃO REALIZADAS NO IFC - CAMPUS ARAQUARI EM 2022 ,Pesquisa,Interdisciplinar,FABIANA MOREIRA ,Campus Araquari,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Concessão de bolsa para auxílio à Coordenação de Pesquisa do IFC Campus Brusque 2022 ,Pesquisa,Interdisciplinar,TIAGO RAFAEL DE ALMEIDA ALVES ,Campus Brusque,Bolsa para estudante,Ensino Médio,1,0,2000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Bolsista para a Coordenação de Pesquisa e Inovação - Campus Camboriú ,Pesquisa,Interdisciplinar,ANGELO AUGUSTO FROZZA ,Campus Camboriú,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,'Proposta de colaboração à coordenação de pesquisa, pós-graduação e inovação (CPPI) do campus Concórdia ',Pesquisa,Interdisciplinar,DIOGENES DEZEN ,Campus Concórdia,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,CONCESSÃO DE BOLSA PARA AUXÍLIO A COORDENAÇÃO DE PESQUISA DO CAMPUS IFC FRAIBURGO ,Pesquisa,Interdisciplinar,ANDRE TORELI SALATINO ,Campus Fraiburgo,Bolsa para estudante,Ensino Médio,1,0,2000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Apoio à Coordenação de Pesquisa do IFC - Campus Ibirama - 2022 ,Pesquisa,Interdisciplinar,GABRIEL MURILO RIBEIRO GONINO ,Campus Ibirama,Bolsa para estudante,Ensino Médio,1,0,2000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Pesquisa Científica e Inovação Tecnológica no Campus Luzerna ,Pesquisa,Interdisciplinar,MONIA STREMEL AZEVEDO,Campus Luzerna,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Bolsa auxílio para a Coordenação de Pesquisa do IFC - Campus Rio do Sul ,Pesquisa,Interdisciplinar,ELLENISE BICALHO,Campus Rio do Sul,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Concessão de bolsa para auxílio à Coordenação de Pesquisa e Inovação – Campus Santa Rosa do Sul,Pesquisa,Interdisciplinar,ELIETE DE FATIMA FERREIRA DA ROSA ,Campus Santa Rosa do Sul,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Concessão de bolsa para auxílio na coordenação de pesquisa do Campus São Bento do Sul - 2022 ,Pesquisa,Interdisciplinar,HENRIQUE VALADAO DE OLIVEIRA ,Campus São Bento do Sul,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Auxílio à Coordenação de Pesquisa e Inovação do Campus São Francisco do Sul ,Pesquisa,Interdisciplinar,DIOGO AMARAL DE MAGALHÃES,Campus São Francisco do Sul,Bolsa para estudante,Ensino Médio,1,0,2000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,'Auxílio na Coordenação de Pesquisa, Pós- Graduação e Inovação do IFC Campus Avançado Sombrio',Pesquisa,Interdisciplinar,MIRIAN ROCHO DA ROSA SILVEIRA,Campus Sombrio,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 61/2021 - Auxílio à Coordenação de Pesquisa,Conceder bolsas a estudantes do IFC para colaborarem com as respectivas coordenações em ações de Pesquisa e Inovação.,PROPI/IFC,01/03/2022 a 31/12/2022,Auxílio a Coordenação de Pesquisa do IFC campus Videira ,Pesquisa,Interdisciplinar,GILSON RIBEIRO NACHTIGALL ,Campus Videira,Bolsa para estudante,Ensino Superior,1,0,4000,0
Edital nº 80/2021 - Apoio a projetos voltados para a inovação “O meu primeiro invento”,'Os projetos tem como foco a pesquisa aplicada em desenvolvimento e inovação, visando a solução de problemas motivados pela sociedade',NIT/IFC,01/03/2022 a 01/12/2022,Prototipagem de sabonete funcional,Pesquisa e Inovação,Ciências da Saúde/Subárea: Farmacotecnia,MÁRIO LETTIERI TEIXEIRA,Campus Concórdia,Bolsa para estudante e Auxílio Financeiro para custeio,Ensino Superior,5,0,20000,10000
Edital nº 80/2021 - Apoio a projetos voltados para a inovação “O meu primeiro invento”,'Os projetos tem como foco a pesquisa aplicada em desenvolvimento e inovação, visando a solução de problemas motivados pela sociedade',NIT/IFC,01/03/2022 a 01/12/2022,Protótipo de suporte para produção de hortaliças integradas em bioflocos,Pesquisa e Inovação,Ciências Agrárias/Subárea: Piscicultura,ADOLFO JATOBÁ,Campus Araquari,Bolsa para estudante e Auxílio Financeiro para custeio,Ensino Superior,2,0,8000,10000
Edital nº 82/2021 -Apoio a projetos voltados para a inovação com demanda induzida,Desenvolvimento de projetos com demanda induzida. Transferência de tecnologia,NIT/IFC,01/03/2022 a 01/12/2022,IFire: sistema de gerenciamentopara corporações de bombeirosvoluntários.,Pesquisa e Inovação,Ciências Extas e da Terra/Subárea: Ciência da Computação,GABRIEL MURILO RIBEIRO GONINO,Campus Ibirama,Bolsa para estudante e Auxílio Financeiro para custeio,Ensino Médio,2,0,6000,5000
Edital nº 82/2021 - Apoio a projetos voltados para a inovação com demanda induzida,Desenvolvimento de projetos com demanda induzida. Transferência de tecnologia,NIT/IFC,01/03/2022 a 01/12/2022,Investigação daspotencialidades de extratosbotânicos como opçõesterapêuticas para enfrentamentoda "tempestade de citocinas" daCOVID- 19 e quadrosinflamatórios em modeloexperimental in vivo utilizandoleitões recém-desmamados.,Pesquisa e Inovação,Ciências Agrárias/subárea: Medicina Veterinária/Farmocologia e Teraupetica Animal,AMANDA CHAABAN,Campus Araquari,Bolsa para estudante e Auxílio Financeiro para custeio,Ensino Médio,3,0,10000,5000
Edital nº 82/2021 - Apoio a projetos voltados para a inovação com demanda induzida,Desenvolvimento de projetos com demanda induzida. Transferência de tecnologia,NIT/IFC,01/03/2022 a 01/12/2022,Prototipagem de creme dérmicohidratante.,Pesquisa e Inovação,Ciências da Saúde/Subárea:Farmácia/Farmacotecnia,MÁRIO LETTIERI TEIXEIRA,Campus Concórdia,Bolsa para estudante e Auxílio Financeiro para custeio,Ensino Superior,1,0,4000,5000
Edital nº 82/2021 - Apoio a projetos voltados para a inovação com demanda induzida,Desenvolvimento de projetos com demanda induzida. Transferência de tecnologia,NIT/IFC,01/03/2022 a 01/12/2022,Desenvolvimento do processode nitretação e pós oxidação aplasma do aço para trabalho aquente AISI H13 atendendo ademanda do arranjo produtivolocal,Pesquisa e Inovação,Engenharias/Subárea: Metalúrgica Física,MÁRIO WOLFART JR,Campus Luzerna,Bolsa para estudante e Auxílio Financeiro para custeio,Ensino Superior,1,0,3600,5000
